State or territory of residence,Naturalizations in 2015
Alabama,2834
Alaska,964
Arizona,13748
Arkansas,1576
California,155979
Colorado,9423
Connecticut,9838
Delaware,1633
District of Columbia,1684
Florida,81960
Georgia,20794
Guam,712
Hawaii,3698
Idaho,1427
Illinois,25722
Indiana,4686
Iowa,2574
Kansas,2830
Kentucky,2846
Louisiana,2956
Maine,1102
Maryland,18390
Massachusetts,23554
Michigan,12473
Minnesota,7533
Mississippi,946
Missouri,4318
Montana,249
Nebraska,2221
Nevada,7900
New Hampshire,1570
New Jersey,34857
New Mexico,2452
New York,90368
North Carolina,11569
North Dakota,561
Ohio,9580
Oklahoma,3858
Oregon,6130
Pennsylvania,16554
Puerto Rico,2826
Rhode Island,2728
South Carolina,4611
South Dakota,542
Tennessee,5381
Texas,65467
Utah,4838
Vermont,570
Virginia,18391
Washington,14341
West Virginia,501
Wisconsin,3738
Wyoming,257
